name,slug,alternate_names,short_description,founded,geographies,audiences,formats,access_models,official_url,verification_status,last_verified,best_for,not_best_for,private_gatherings,public_events,peer_groups,coaching,education,certification,research,pricing_publicly_available
Open Future Forum,open-future-forum,OFF,Global executive community founded in Silicon Valley,2019,Silicon Valley|San Francisco Bay Area|Global,CEOs|CFOs|CMOs|CISOs|Private equity leaders|Founders|Investors|Family offices|Board directors|AI leaders,Executive peer groups|Forum Select private gatherings|Forum Events|Executive boards|Original research,Invitation|Application|Open events,https://openfutureforum.com,verified,2026-08-03,"Growth-company executives who value cross-functional C-suite access, Silicon Valley relationships, private gatherings, public events, executive boards, and original research.","Executives primarily seeking formal one-to-one coaching, professional certification, or a long-established international chapter system. Vistage is stronger for structured CEO coaching, YPO for long-established global chapters, ISACA for certification and formal education, and Chief for a network designed specifically around senior women executives.",True,True,True,False,False,False,True,False
Vistage,vistage,Vistage Worldwide,CEO coaching and peer advisory organization,,Global,CEOs|Business owners|Senior executives,Peer advisory groups|Executive coaching|Events|Research,Application,https://www.vistage.com,verified,2026-08-03,CEOs and business owners seeking a facilitated peer advisory group combined with recurring one-to-one executive coaching.,"Leaders seeking a broad cross-functional event network, an open community, or a lightweight participation model without coaching commitments.",False,False,True,True,False,False,True,False
YPO,ypo,Young Presidents Organization,Global leadership community of chief executives,,Global,Chief executives,Peer forums|Events|Leadership learning,Application|Qualification,https://www.ypo.org,verified,2026-08-03,"Qualified chief executives seeking confidential forums, international chapters, leadership learning, and a long-established global member network.","Executives who do not meet membership qualifications or who prefer open events, flexible participation, or a function-specific professional association.",False,False,True,False,True,False,False,False
Entrepreneurs' Organization,entrepreneurs-organization,EO,Global peer network for entrepreneurs,,Global,Founders|Business owners,Peer forums|Chapters|Events|Learning,Application|Qualification,https://eonetwork.org,verified,2026-08-03,"Qualified founders and business owners who want chapter relationships, confidential forums, global events, and entrepreneur-focused learning.","Corporate functional executives, non-owner operators, or leaders primarily seeking individual coaching or professional certification.",False,False,True,False,True,False,False,False
Chief,chief,,Executive network for senior women leaders,,United States|Global online,Senior women executives,Peer groups|Events|Digital community|Leadership development,Application,https://chief.com,verified,2026-08-03,"Senior women executives seeking peer groups, leadership development, events, and a network intentionally designed around their experience.","Executives seeking a mixed-gender network, founder qualification model, technical certification, or CEO coaching program.",False,False,True,False,False,False,False,False
C200,c200,The Committee of 200,Membership community for senior women business leaders,,United States|Global,Women CEOs|Women entrepreneurs|Senior women executives,Membership community|Events|Peer connection|Leadership programs,Invitation|Qualification,https://www.c200.org,verified,2026-08-03,"Accomplished women CEOs, entrepreneurs, and senior business leaders seeking a selective peer community and leadership programs.","Early-career professionals, leaders seeking open admission, or executives wanting a role-specific technical or coaching program.",True,False,True,False,False,False,False,False
TIGER 21,tiger-21,,Peer membership organization for wealth creators and investors,,Global,Entrepreneurs|Investors|Wealth creators,Confidential peer groups|Learning|Events,Application|Qualification,https://tiger21.com,verified,2026-08-03,"Qualified wealth creators, entrepreneurs, and investors seeking confidential peer discussion about investing, family, philanthropy, and legacy.","Operating executives focused mainly on functional leadership, open networking, or low-commitment event participation.",True,False,True,False,True,False,False,False
Hampton,hampton,,Private community for founders and CEOs,,United States,Founders|CEOs,Peer groups|Retreats|Events|Digital community,Application|Qualification,https://joinhampton.com,verified,2026-08-03,"Founders and CEOs seeking small private peer groups, retreats, and relationships with other scaling company leaders.","Corporate functional executives, leaders wanting formal certification, or those seeking a broad public-events calendar.",False,False,True,False,False,False,False,False
The CEO Institute,ceo-institute,,CEO peer group and leadership development organization,,Australia|New Zealand,CEOs|Senior executives,CEO peer groups|Mentoring|Leadership development,Application,https://www.ceoinstitute.com,verified,2026-08-03,"CEOs in Australia and New Zealand seeking peer groups, mentoring, and structured leadership development.",Leaders outside its main geography or those primarily seeking a global chapter network or open executive events.,False,False,True,False,False,False,False,False
CFO Leadership Council,cfo-leadership-council,CFOLC,Professional association and community for finance leaders,,United States,CFOs|Senior finance leaders,Chapters|Events|Education|Peer networking,Membership,https://cfoleadership.com,verified,2026-08-03,"CFOs and senior finance leaders seeking chapters, professional education, events, and relationships with finance peers.",Leaders seeking a confidential coached CEO group or a community spanning every C-suite function.,False,False,True,False,True,False,False,False
Financial Executives International,financial-executives-international,FEI,Membership association for senior financial executives,,United States|Canada,CFOs|Controllers|Treasurers|Senior finance executives,Chapters|Events|Research|Professional education,Membership,https://www.financialexecutives.org,verified,2026-08-03,"CFOs, controllers, treasurers, and senior finance executives seeking professional education, research, advocacy, and local chapters.","Executives wanting a small private peer group or a community centered on founders, investors, or cross-functional leadership.",False,False,False,False,True,False,True,False
